id,name_cn,rank,total,total_score,prob_score,simp_score,conf_score
1934,中华小当家,929,3121,287269,3437.6484,5530,28834.6105
1935,钢之炼金术师 香巴拉的征服者,1194,2464,174178,2883.5782,4994,21556.6565
1936,星之声,1255,3720,197420,2771.1772,4681,23020.9606
1937,无限的未知,269,1252,312805,4366.933,6695,32807.566
1938,蒸汽男孩,1493,1205,105593,2964.9592,4748,17612.931
1939,网球王子,3248,1930,-112159,579.9389,908,-1770.7282
1940,魔卡少女樱,164,6934,1002762,4938.3961,7121,59495.9277
1941,魔卡少女樱 香港之旅,871,1854,136301,2686.0324,4431,18207.3476
1942,魔卡少女樱 被封印的卡片,345,2379,333973,3947.6744,6138,32204.7376
1943,遥远时空中 八叶抄,4348,281,-27469,-433.9025,-858,-3359.1896
1944,遥远时空中 舞一夜,3050,176,-14292,-341.0081,-688,-2133.2864
1945,遥远时空中 紫阳花物语,5640,91,-21823,-1112.9452,-1673,-4802.8003
1946,遥远时空中2 白龙之神子,4652,75,-13533,-729.3826,-1203,-3074.4948
1947,人鱼之森,1176,500,51067,2002.1343,3443,9931.6412
1948,奇诺之旅,185,3320,649523,5082.7585,7208,49132.3066
1949,奇诺之旅 疾病之国 -为了你-,1297,1029,118170,2936.3801,4642,18054.9858
1951,魔女猎人罗宾,1835,298,18541,1306.2845,2183,5251.7276
1952,迦南,2645,3065,-96328,1049.5431,1953,3056.4576
1953,恐怖宠物店,1230,920,52160,2152.3485,3837,10861.4424
1954,高智能方程式,1229,764,63095,2264.457,3937,11804.0682
1955,高智能方程式：Cyber Formula 11,762,400,81359,2838.0312,4632,14553.1569
1956,高智能方程式：ZERO,559,431,87463,2901.861,4823,15134.4491
1957,高智能方程式：SAGA,661,404,78517,2743.3851,4494,13992.7182
1958,高智能方程式：SIN,433,495,102419,3190.0352,5104,17035.7626
1959,怪物,84,2616,517103,5380.5633,7188,45126.9312
1961,玻璃假面,814,272,28536,1378.7192,2591,6136.8178
1962,大闹天宫,30,3671,787844,5735.5145,7559,57461.8529
1963,SA特优生,5807,1512,-258265,-1454.8238,-2710,-17257.3567
1964,英国恋物语艾玛,1298,255,20859,1262.8366,2450,5276.2102
1965,英国恋物语艾玛 第二幕,1460,173,14143,1043.7492,1959,3992.2442
1966,交响情人梦 巴黎篇,491,1448,219211,3446.0823,5276,24670.6915
1967,英雄时代,2232,590,21560,1328.587,2499,5995.939
1969,奔向地球,720,371,62601,2226.4588,3953,11342.5478
1970,吸血鬼骑士,5642,1654,-256326,-1334.7405,-2409,-16545.7312
1971,吸血鬼骑士 Guilty,5302,1272,-189931,-1327.7467,-2451,-14073.7715
1972,魔神英雄传,900,1614,161252,3193.5992,5251,21289.3355
1973,魔神英雄传2,1035,797,75009,2552.8826,4286,13542.7747
1974,超魔神英雄传,1631,796,55577,2190.4068,3836,11154.1849
1975,女神异闻录 -圣洁之魂-,4046,549,0,0.0,0,0.0
1976,精灵守护者,263,1437,353719,4828.3057,6766,36444.0685
1977,向北,3723,89,-10086,-305.6678,-541,-1741.2346
1978,天使怪盗,2780,911,-42204,274.5864,485,-1068.0436
1979,十二生肖守护神,1431,471,25991,1467.4357,2691,6452.9909
1980,伯爵与妖精,5338,659,-109414,-1244.9986,-2392,-10715.8505
1981,蓝宝石之谜,406,1221,226024,4037.4856,6204,27327.4666
1982,圣魔之血,2209,904,6461,1197.9763,2063,4924.8321
1983,狼雨,967,749,72698,2137.2743,4014,12038.0154
1984,老人与海,169,745,228844,4627.746,6389,29563.1916
1985,金色琴弦～primo passo～,3992,572,-61261,-792.8243,-1513,-6306.311
1986,兽王星,4012,335,-45892,-659.4979,-1276,-5239.2592
1987,完美小姐进化论,5168,610,-84434,-984.7342,-1977,-8341.0394
1989,诗片,4168,356,-57591,-929.4196,-1857,-6824.317
1990,海贼王 被诅咒的圣剑,3426,467,-47519,39.3847,87,-2895.9814
1991,海贼王 祭典男爵与神秘岛,2066,595,24331,1706.8081,3219,7364.7675
1995,海贼王 机关城的机械巨兵,3328,485,-56663,-87.8563,-217,-3898.0431
1996,.hack//根源,6217,271,-70875,-1644.5411,-2954,-10128.6275
1997,.hack//时空,3136,411,-36315,-214.2878,-421,-3129.9352
1999,海贼王 沙漠的王女与海贼们,2071,585,4584,1291.1371,2162,4675.9304
2000,海贼王 绽放在寒冬的奇迹樱花,1416,666,31297,1724.1081,2984,7904.4005
2001,.hack//黄昏腕轮传说,5008,353,-69030,-1262.766,-2413,-8718.3643
2010,彩云国物语,3126,947,-34574,576.6404,961,471.2608
2042,橙路,1284,302,46304,2121.3653,3623,9729.9332
2045,麻辣教师GTO,283,1437,284073,4323.6114,6403,31177.4549
2046,王立宇宙军 欧尼亚米斯之翼,340,1381,296040,4334.0356,6493,31856.9542
2047,OTAKU的录像带,1372,522,87028,2884.8331,4759,15357.9647
2049,他和她的故事,711,1343,173429,3355.09,5770,22246.3763
2051,家庭教师HITMAN REBORN!,1063,2745,0,0.0,0,0.0
2059,斗牌传说,487,1603,251453,3898.6794,6006,27816.6767
2060,樱花大战,3341,491,-27767,505.3128,964,-34.0354
2062,侍魂2?阿修罗斩魔传?,3773,54,-7383,-457.7446,-826,-1812.7458
2074,逮捕令,768,938,136250,3170.6381,5140,19309.2811
2076,逮捕令 第二季,1598,374,36535,1657.9367,2901,7814.2423
2077,漫画同人会,4963,126,-31508,-1083.6714,-2007,-5609.8591
2078,逮捕令 全速前进,3069,318,-16552,326.3651,449,-112.2422
2080,剧场版 我的女神,1423,358,31230,1586.4754,2817,7131.9618
2082,甜蜜声优,4085,367,-41162,-0.3209,12,-2767.027
2083,双面骑士,995,451,48410,1931.7599,3516,9515.8424
2084,BLOOD 最后的吸血鬼,1643,947,58762,2223.5235,4116,12029.294
2086,人狼,145,1815,0,0.0,0,0.0
2087,毁灭世界的六人,5939,630,-142362,-1423.8128,-2596,-13192.798
2088,苍天航路,2737,145,-15713,-442.6299,-815,-2569.365
2089,恶作剧之吻,3511,510,-43221,-168.8302,-311,-3174.321
2090,黑血兄弟,4508,228,-37789,-956.5233,-1865,-5679.9746
2091,四圣兽 ~光阴叙事诗天使谭~,6709,102,-26561,-1269.973,-1678,-5631.3907
2092,废弃公主,1570,813,54839,1928.2848,3540,10199.6271
2093,天国少女,5235,176,-26112,-860.6806,-1625,-4531.5994
2094,秀逗魔导士,414,1297,214394,3705.871,5819,25412.3131
2095,秀逗魔导士NEXT,346,999,0,0.0,0,0.0
2096,秀逗魔导士NEXT,346,999,169813,3495.2291,5560,22180.1758
2097,秀逗魔导士TRY,601,666,100931,2766.0508,4501,15637.9666
2098,源氏物语千年纪,5809,355,-62656,-1201.8054,-2321,-8095.8358
2103,龙珠改,745,984,123651,3091.3966,5144,18324.6052
2107,次强音,2259,792,44559,2046.8634,3407,10758.5504
2108,重金属摇滚双面人,477,766,144307,3526.1809,5531,20904.343
2120,青出于蓝～缘～,2706,367,-6322,625.6859,1195,1657.8197
2121,纯情房东俏房客,2125,967,12247,1437.3038,2458,6346.0845
2126,美鸟日记,2669,697,-25783,541.9699,959,560.9572
2127,AIR 夏季篇,362,3143,455787,3932.8157,6360,36759.7241
2128,雷顿教授与永远的歌姬,1926,365,9008,1008.7067,1883,3800.1094
2129,肯普法,6438,2280,-456716,-1693.7194,-3145,-24373.039
2132,亲吻姐姐OAD,2788,2001,-60,-5.8636,-13,-18.7529
2135,鸦 -KARAS-,1369,1405,126174,2915.3048,4901,18619.1432
2137,潘多拉之心,3287,2463,-78,-7.0764,-10,-23.4575
2141,魔力女管家,1239,913,112911,2747.2655,4529,16561.9713
2142,魔力女管家～更美丽的事物～,1313,561,63303,2108.3883,3436,11149.6296
2158,魔界战记,4394,237,-32665,-604.6842,-1150,-4257.07
2166,乌龙派出所,344,198,32662,1635.1627,2849,7120.3922
2167,这丑陋又美丽的世界,5607,515,-93169,-895.0378,-1719,-8642.1048
2168,二十面相少女,4357,316,-40625,-383.2026,-745,-3936.6027
2169,绚烂舞踏祭,4771,96,-22612,-828.7415,-1489,-4217.7285
2170,天翔少女,3606,348,-31069,-167.7957,-316,-2561.4367
2171,天翔少女 OVA,3435,154,-23778,-464.4586,-858,-3231.596
