id,name_cn,rank,total
2121,纯情房东俏房客,2125,967
2126,美鸟日记,2669,697
2127,AIR 夏季篇,362,3143
2128,雷顿教授与永远的歌姬,1926,365
2129,肯普法,6438,2280
2132,亲吻姐姐OAD,2788,2001
2135,鸦 -KARAS-,1369,1405
2137,潘多拉之心,3287,2463
2141,魔力女管家,1239,913
2142,魔力女管家～更美丽的事物～,1313,561
2158,魔界战记,4394,237
2166,乌龙派出所,344,198
2167,这丑陋又美丽的世界,5607,515
2168,二十面相少女,4357,316
2169,绚烂舞踏祭,4771,96
2170,天翔少女,3606,348
2171,天翔少女 OVA,3435,154
2172,你所期望的永远 ～Next Season～,4618,367
2173,无爱之战,2899,853
2174,推理之绊,4613,753
2175,骷髅人,2742,159
2215,魔方大厦,807,889
2216,皇家国教骑士团,3513,1088
2217,幻影,6061,135
2220,宇宙小毛球,2762,96
2225,剧场版 空之境界 第六章 忘却录音,981,5547
2240,金色琴弦～Secondo Passo～,4040,275
2255,日本第一男人之魂,1953,59
2257,爱丽丝学园,1858,947
2274,光与水的女神,2823,74
2281,调酒师,1168,588
2282,星舰驾驶员,1761,234
2284,恋姬无双,6002,946
2286,隐之王,4263,1276
2293,武器种族传说,3754,1009
2299,水之语,2574,508
2300,黑猫,4072,797
2310,麦兜响当当,3228,374
2314,到另一个你的身边去,1866,368
2319,夜明前的琉璃色-Crescent Love-,7413,546
2326,宇宙星路,1664,254
2327,混沌武士,37,6580
2328,大都会,1090,1116
2329,七色星露,5996,389
2333,蓝兰岛漂流记,3944,897
2354,DARKER THAN BLACK -流星的双子-,1130,4426
2396,风之圣痕,3958,1093
2408,魂链,6993,198
2411,天使的小生意气,1934,124
2412,湾岸MIDNIGHT,2541,88
2414,小小雪精灵,1662,152
2415,小小雪精灵 夏季特别篇,1738,54
2418,萌蛋,3413,54
2425,守护甜心!!心跳,3980,737
2427,守护甜心!,4210,1220
2428,黑执事,2592,3253
2430,狗/子弹&amp;屠杀,2167,257
2439,×××HOLiC,407,3063
2440,沉默的未知,2242,214
2441,初音岛II,4156,763
2442,日在校园,4829,5969
2443,铁腕巴迪 DECODE,2660,416
2448,钢铁新娘,4570,498
2449,潘多拉之心,3287,2463
2450,成惠的世界,4709,148
2451,神无月的巫女,2517,1515
2453,黑岩射手,4847,3141
2454,天上人与亚克托人最后的战斗,6698,195
2459,搞笑漫画日和3,384,2532
2460,搞笑漫画日和2,395,2513
2461,搞笑漫画日和,271,4916
2462,海贼王 强者世界,1272,1120
2463,无头骑士异闻录,264,10603
2464,荒川爆笑团,788,5822
2469,飞轮少年,3838,412
2470,校园乌托邦 学美向前冲！,1457,606
2471,假面女仆卫士,5036,365
2472,魔法学园MA,4914,287
2473,秦时明月之百步飞剑,2598,984
2474,十字架与吸血鬼,5988,1350
2475,十字架与吸血鬼 CAPU2,5213,927
2476,信蜂,2471,1250
2477,怪谈餐馆,4100,270
2478,小鸠。,2369,1592
2480,奇迹列车～欢迎来到大江户线～,7079,234
2481,宇宙骑士BLADE,278,623
2482,萝莉的时间,3609,1459
2487,企鹅娘,4975,215
2496,物怪,100,3198
2504,剧场版 超时空要塞F 虚空歌姬,1659,1396
2531,空中秋千,683,662
2566,11eyes,7418,1544
2567,学生会的一己之见,1336,5167
2582,玲音,274,3064
2585,某科学的超电磁炮,864,13505
2586,白色相簿 下半编章,1463,1841
2603,狱・再见绝望先生,469,1576
2604,夏之岚!～春夏冬中～,1328,590
2605,女皇之刃 王座的继承者,4108,583
2606,真・恋姬无双,4919,726
2607,恋姬无双,6002,946
2608,乃木坂春香的秘密 purezza♪,6173,841
2609,妖精的尾巴,1173,3270
2610,机巧魔神2,4240,466
2611,天体战士 第2期,324,813
2617,天降之物,1695,5326
2642,双恋,6333,428
2643,双恋 Alternative,999,951
2661,轻声密语,1881,761
2662,向阳素描×365 特别篇,631,681
2664,机动战士高达 第08MS小队,244,2428
2667,机动战士Z高达,35,2602
2680,初音岛 第二季,3563,751
2681,初音岛 if,3017,399
2682,EVA爆笑学园,3600,664
2688,初音岛II 第二季,3104,746
2689,全金属狂潮 The Second Raid OVA 战队长悠闲的一天,970,1804
2690,机动战士高达MS IGLOO 一年战争秘录,2402,591
2691,机动战士高达 MS IGLOO 默示录0079,2466,587
2693,和巴什尔跳华尔兹,562,181
2694,我在伊朗长大,1069,291
2695,幻想传说,3699,165
2696,笨笨森林日志,1513,84
2697,摇滚新乐团,483,764
2707,星空清理者,111,2871
2710,风人物语,669,540
2712,浪客剑心,611,1810
2725,梦色蛋糕师,2977,299
2726,天使特警2,5537,159
2729,魔力女管家特别篇 我回来了◆欢迎回来,1917,404
2732,月光旅程 -Lift off-,973,222
2733,月光旅程 -Touch down-,870,200
2734,星空清理者,111,2871
2735,猫愿三角恋,3289,1306
2741,棒球英豪,94,1563
2750,杀戮都市,4586,686
2751,钢铁神兵B'T-X,1309,553
2768,战斗司书,3617,532
2769,秦时明月之夜尽天明,1974,1012
2771,圣剑锻造师,5870,925
2772,新机动战记高达W 无尽的华尔兹 剧场版,993,873
2774,新机动战记高达W,1607,1242
2775,女皇之刃 王座的继承者,4108,583
2776,光速蒙面侠21,1654,265
2782,火影忍者疾风传,911,4304
2783,名侦探柯南 漆黑的追迹者,4278,2518
2784,犬夜叉,592,3400
2785,犬夜叉 完结篇,749,2020
2788,神风怪盗贞德,3236,382
2789,乱马1/2,685,1130
2790,好想告诉你,603,4357
2794,校园外星人,2940,197
2808,RD 潜脑调查室,3503,228
2810,我的狐仙女友,6228,1984
2811,我的狐仙女友 ～真夏的大谢肉祭～,5874,606
2812,信蜂 ～光与蓝的幻想夜话～,1918,361
2813,惊爆草莓,2550,1054
2829,糖果男孩,959,1348
2833,青出于蓝～缘～ 圣诞特别篇,2768,156
2839,蔷薇少女,1446,3439
2842,战斗妖精雪风,394,1424
2859,宵星传说～首鸣～,1501,510
2863,地海传说,7076,592
2875,死神剧场版 消逝于黑暗中 呼唤着你的名字,4673,592
2877,极上生徒会,4947,122
2881,后天的方向,2401,311
2882,青之文学,769,2052
2884,DARKER THAN BLACK -流星的双子-,1130,4426
2885,棒球大联盟 第一季,1133,218
2886,棒球大联盟 第二季,1341,184
2887,棒球大联盟 第三季,1290,171
2888,棒球大联盟 第四季,1198,161
2889,棒球大联盟 第五季,936,164
2891,翼·年代记,2294,1553
2892,翼·年代记 第二部,2200,1022
2893,翼·年代记 鸟笼国的公主,2822,716
2894,翼·年代记 东京默示录,729,1016
2895,翼·年代记 春雷记,1019,793
2896,×××HOLiC◆继,295,2344
2897,×××HOLiC 仲夏夜之梦,636,1360
2898,×××HOLiC 春梦记,615,1300
2899,欢乐树伙伴,1041,720
2902,钢之炼金术师,114,7171
2903,岩窟王,1095,627
2904,愿你在此,5163,63
2907,银河英雄传说,12,1866
2908,暗之末裔,3567,233
2909,间之楔,681,603
2910,间之楔,1884,413
2911,今天开始做魔王,3769,842
2912,万有引力,3616,373
2913,万有引力OVA,3090,104
2914,炎之蜃气楼,2452,172
2915,炎之蜃气楼～水际的反逆者～,1777,85
2916,东京巴比伦,2937,367
2921,相聚一刻,310,351
2934,黑塚,4286,332
2935,七虹香电击大作战,4944,57
2936,苍穹之法芙娜,838,1569
2937,SHUFFLE!,5371,986
2938,SHUFFLE! MEMORIES,6630,433
2939,魔女之刃,3726,237
2940,恋爱情结,1094,693
2942,虎子,3847,337
2968,名侦探柯南 引爆摩天楼,1705,3080
2969,名侦探柯南 第14号目标,2849,2091
2970,名侦探柯南 世纪末的魔术师,1724,3000
2971,名侦探柯南 通往天国的倒数计时,896,3569
2972,名侦探柯南 贝克街的亡灵,441,5078
2973,名侦探柯南 迷宫的十字路口,1414,3155
2974,名侦探柯南 银翼的魔术师,3390,2677
2975,名侦探柯南 水平线上的阴谋,3920,2408
2976,名侦探柯南 侦探们的镇魂歌,3717,2597
2977,名侦探柯南 绀碧之棺,6647,2253
2978,名侦探柯南 战栗的乐谱,5605,2343
2979,勇者王GaoGaiGar Final,253,306
2981,勇者王GaoGaiGar Final Grand Glorious Gathering,354,225
2982,魔法使借贷公司,5078,443
3011,魂兽,7018,228
3012,萌菌物语,1111,1270
3013,节哀唷♥二之宫同学,6331,802
3014,仙乐传说 西尔瓦蓝特篇,3422,203
